"","Created.Date","Agency","Agency.Name","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","year","month"
"2493250","01/25/2015 01:41:06 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10022","MANHATTAN",40.7607164754486,-73.9665665916344,2015,1
"2495202","01/24/2015 06:25:30 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10075","MANHATTAN",40.7738905578362,-73.9563460031728,2015,1
"2495297","01/24/2015 05:31:50 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10002","MANHATTAN",40.719541507404,-73.991507922768,2015,1
"2499341","01/23/2015 06:19:57 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10001","MANHATTAN",40.744889303272,-73.9913422921079,2015,1
"2499880","01/23/2015 03:22:04 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7338608608727,-73.9909576385734,2015,1
"2501221","01/23/2015 10:49:06 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7331089329929,-73.9928773264078,2015,1
"2504522","01/22/2015 09:56:22 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10036","MANHATTAN",40.7575891919093,-73.9906187274023,2015,1
"2504544","01/22/2015 09:39:00 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10001","MANHATTAN",40.7529234056028,-73.9951815614865,2015,1
"2504647","01/22/2015 08:35:04 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10003","MANHATTAN",40.7343907026469,-73.9924008920274,2015,1
"2504878","01/22/2015 06:36:09 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10019","MANHATTAN",40.7604168732173,-73.9758473411202,2015,1
"2505014","01/22/2015 05:58:30 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10018","MANHATTAN",40.7535538269837,-73.9850428477474,2015,1
"2505307","01/22/2015 04:26:21 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7454916693022,-73.9796132411655,2015,1
"2505380","01/22/2015 04:07:01 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10011","MANHATTAN",40.7343881361816,-73.9959153894179,2015,1
"2505688","01/22/2015 03:03:54 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10012","MANHATTAN",40.7232884140984,-73.999325357807,2015,1
"2506825","01/22/2015 11:00:10 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10039","MANHATTAN",40.8300055971109,-73.9366734316823,2015,1
"2506901","01/22/2015 10:44:18 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7338608608727,-73.9909576385734,2015,1
"2507826","01/22/2015 06:47:53 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10001","MANHATTAN",40.7497941799773,-73.9914860205715,2015,1
"2510808","01/21/2015 07:04:02 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10001","MANHATTAN",40.7499344564844,-73.9978381159775,2015,1
